Date,Open,High,Low,Close
2020-10-09,1.29316,1.30449,1.29249,1.30386
2020-10-12,1.3029,1.30825,1.30054,1.30654
2020-10-13,1.30647,1.30694,1.29228,1.29374
2020-10-14,1.29375,1.30644,1.28641,1.30126
2020-10-15,1.30125,1.30299,1.2891,1.29049
2020-10-16,1.29049,1.29616,1.2863,1.29273
2020-10-19,1.29084,1.30246,1.29034,1.29426
2020-10-20,1.29426,1.29788,1.29115,1.29441
2020-10-21,1.29434,1.31769,1.29433,1.31449
2020-10-22,1.31448,1.31522,1.30706,1.3082
2020-10-23,1.3082,1.31217,1.30194,1.3046
2020-10-26,1.30427,1.30743,1.29934,1.30162
2020-10-27,1.30163,1.30797,1.30013,1.30271
2020-10-28,1.30272,1.30631,1.29169,1.29865
2020-10-29,1.2987,1.30252,1.28814,1.29277
2020-10-30,1.29277,1.29881,1.28993,1.29509
2020-11-02,1.29329,1.29429,1.28554,1.29144
2020-11-03,1.29141,1.30787,1.29136,1.30732
2020-11-04,1.30731,1.31398,1.29148,1.29411
2020-11-05,1.29429,1.31578,1.2939,1.31429
2020-11-06,1.31432,1.31772,1.30936,1.31521
2020-11-09,1.3164,1.32079,1.31189,1.31599
2020-11-10,1.31603,1.32778,1.31564,1.32705
2020-11-11,1.32692,1.32998,1.31919,1.32227
2020-11-12,1.32227,1.32282,1.31067,1.31185
2020-11-13,1.31185,1.31963,1.31095,1.31963
2020-11-16,1.31905,1.32423,1.31658,1.31953
2020-11-17,1.31953,1.32723,1.31934,1.3264
2020-11-18,1.32642,1.33118,1.32438,1.32676
2020-11-19,1.32679,1.32793,1.31972,1.32536
2020-11-20,1.32537,1.32965,1.32472,1.32913
2020-11-23,1.32966,1.33977,1.32647,1.33229
2020-11-24,1.33228,1.33801,1.32937,1.33587
2020-11-25,1.33588,1.33935,1.3305,1.33815
2020-11-26,1.33816,1.33978,1.33222,1.33569
2020-11-27,1.33569,1.33813,1.32934,1.32964
2020-11-30,1.3326,1.33819,1.33054,1.33291
2020-12-01,1.33292,1.34399,1.33157,1.34268
2020-12-02,1.34268,1.3441,1.32877,1.3372
2020-12-03,1.33724,1.34999,1.33534,1.34517
2020-12-04,1.34517,1.35391,1.34139,1.34349
2020-12-07,1.3419,1.34367,1.32249,1.33719
2020-12-08,1.33719,1.33903,1.32902,1.33605
2020-12-09,1.33605,1.34778,1.3324,1.3361
2020-12-10,1.33608,1.33895,1.32463,1.33015
2020-12-11,1.33014,1.33243,1.31352,1.32245
2020-12-14,1.33298,1.34446,1.32904,1.33297
2020-12-15,1.33299,1.34693,1.32805,1.34513
2020-12-16,1.34522,1.35535,1.34347,1.35029
2020-12-17,1.35029,1.36243,1.34958,1.35858
2020-12-18,1.35859,1.35865,1.34725,1.34991
2020-12-21,1.34314,1.34969,1.31897,1.34513
2020-12-22,1.34506,1.34697,1.33044,1.33621
2020-12-23,1.33621,1.35688,1.33621,1.35003
2020-12-24,1.35035,1.36194,1.3497,1.35283
2020-12-28,1.35502,1.35758,1.34298,1.34526
2020-12-29,1.34529,1.35228,1.34507,1.35023
2020-12-30,1.35023,1.36257,1.34938,1.36177
2020-12-31,1.36157,1.36859,1.36045,1.36721
2021-01-04,1.36636,1.37028,1.35421,1.35761
2021-01-05,1.35755,1.36414,1.35543,1.36226
2021-01-06,1.36233,1.36704,1.35404,1.36106
2021-01-07,1.36105,1.36332,1.35334,1.35643
2021-01-08,1.35645,1.36352,1.35392,1.35593
2021-01-11,1.35591,1.35628,1.34524,1.35096
2021-01-12,1.35097,1.36697,1.35048,1.36635
2021-01-13,1.36642,1.37,1.36119,1.36412
2021-01-14,1.36391,1.37083,1.36168,1.36881
2021-01-15,1.36883,1.36981,1.35724,1.3584
2021-01-18,1.3587,1.35985,1.35205,1.35833
2021-01-19,1.3584,1.36366,1.35784,1.36336
2021-01-20,1.36336,1.37177,1.36235,1.36545
2021-01-21,1.36545,1.37461,1.36541,1.37321
2021-01-22,1.37323,1.3736,1.36365,1.36798
2021-01-25,1.36787,1.37232,1.36492,1.36745
2021-01-26,1.36746,1.37443,1.36102,1.37348
2021-01-27,1.3735,1.37588,1.36594,1.36929
2021-01-28,1.36929,1.37459,1.36302,1.3728
2021-01-29,1.37278,1.37515,1.36574,1.3702
2021-02-01,1.37045,1.37577,1.36564,1.36666
2021-02-02,1.3667,1.37104,1.36113,1.36635
2021-02-03,1.36639,1.36834,1.36195,1.36453
2021-02-04,1.3646,1.36976,1.35668,1.36678
2021-02-05,1.36678,1.37401,1.36664,1.37378
2021-02-08,1.37297,1.37493,1.36808,1.37397
2021-02-09,1.37407,1.38198,1.37379,1.38145
2021-02-10,1.38145,1.38659,1.38028,1.3831
2021-02-11,1.38305,1.38592,1.38015,1.38171
2021-02-12,1.38171,1.38626,1.3776,1.38502
2021-02-15,1.38592,1.3919,1.38579,1.39095
2021-02-16,1.39094,1.39516,1.38694,1.39036
2021-02-17,1.39034,1.39058,1.38296,1.38611
2021-02-18,1.38611,1.39853,1.38399,1.39741
2021-02-19,1.39741,1.40356,1.39516,1.40074
2021-02-22,1.40151,1.40859,1.39806,1.40707
2021-02-23,1.40664,1.41169,1.40543,1.41135
2021-02-24,1.41134,1.42348,1.40823,1.4142
2021-02-25,1.4142,1.41818,1.40005,1.4012
2021-02-26,1.40115,1.4026,1.38882,1.39308
2021-03-01,1.39393,1.39991,1.39043,1.39279
2021-03-02,1.3928,1.3977,1.38592,1.39548
2021-03-03,1.39548,1.40063,1.39212,1.39502
2021-03-04,1.39503,1.40166,1.38805,1.38968
2021-03-05,1.38968,1.39067,1.37791,1.38464
2021-03-08,1.3842,1.38655,1.38003,1.3817
2021-03-09,1.38188,1.39251,1.3802,1.38926
2021-03-10,1.38905,1.39382,1.38462,1.39341
2021-03-11,1.3934,1.39945,1.3919,1.39874
2021-03-12,1.39874,1.4005,1.38636,1.39293
2021-03-15,1.39243,1.39496,1.38537,1.38962
2021-03-16,1.38963,1.39052,1.38095,1.38991
2021-03-17,1.38991,1.39753,1.3851,1.39633
2021-03-18,1.39628,1.40014,1.38976,1.39242
2021-03-19,1.39242,1.39593,1.38307,1.38649
2021-03-22,1.3839,1.38766,1.38179,1.38622
2021-03-23,1.38622,1.38643,1.37409,1.37479
2021-03-24,1.37476,1.37481,1.36744,1.36806
2021-03-25,1.36804,1.37455,1.36704,1.37408
2021-03-26,1.37396,1.38119,1.37383,1.37966
2021-03-29,1.37889,1.38469,1.37567,1.37621
2021-03-30,1.3763,1.37835,1.37065,1.37385
2021-03-31,1.37386,1.38107,1.37166,1.37826
2021-04-01,1.3783,1.38362,1.37467,1.38311
2021-04-05,1.38229,1.39137,1.38136,1.39084
2021-04-06,1.39087,1.39188,1.38027,1.38242
2021-04-07,1.38229,1.384,1.37247,1.3739
2021-04-08,1.3739,1.37825,1.3719,1.37346
2021-04-09,1.37348,1.37507,1.36706,1.37092
2021-04-12,1.37048,1.37765,1.36693,1.37433
2021-04-13,1.37433,1.3769,1.36944,1.37512
2021-04-14,1.37509,1.38088,1.375,1.37795
2021-04-15,1.37794,1.38089,1.3762,1.3785
2021-04-16,1.3785,1.3839,1.37174,1.38363
2021-04-19,1.38296,1.39925,1.381,1.39834
2021-04-20,1.39835,1.40088,1.39262,1.39372
2021-04-21,1.39372,1.39497,1.38863,1.39317
2021-04-22,1.39313,1.39495,1.38239,1.38407
2021-04-23,1.38407,1.38954,1.3835,1.38855
2021-04-26,1.3876,1.39292,1.38647,1.38992
2021-04-27,1.38978,1.39239,1.38587,1.39071
2021-04-28,1.39071,1.39504,1.38617,1.39376
2021-04-29,1.39375,1.39766,1.39321,1.39443
2021-04-30,1.39443,1.39584,1.38027,1.38136
2021-05-03,1.38161,1.39314,1.38037,1.3911
2021-05-04,1.3911,1.39129,1.38384,1.38864
2021-05-05,1.38864,1.39262,1.38763,1.39071
2021-05-06,1.39071,1.39406,1.38588,1.38893
